,minutes,touches,role,playerId,teamId,playerName,xGOT,goals_conceded,match_id,date,teamName
132,77,,Keeper,777035,7878,Luis Maximiano,1.51,0,3629157,2021-09-27 21:00:00,Granada
133,13,,Keeper,534955,7878,Aaron Escandell,1.51,1,3629157,2021-09-27 21:00:00,Granada
134,90,,Keeper,37421,8603,Claudio Bravo,0.85,2,3629137,2021-09-19 18:30:00,Real Betis
135,90,,Keeper,41466,8558,Diego Lopez,2.29,2,3629137,2021-09-19 18:30:00,Espanyol
136,90,,Keeper,660625,8315,Unai Simon,0.26,0,3629164,2021-10-01 21:00:00,Athletic Club
137,90,,Keeper,241059,9866,Fernando Pacheco,1.91,1,3629164,2021-10-01 21:00:00,Deportivo Alaves
138,90,,Keeper,683762,8371,Sergio Herrera,0,0,3629171,2021-10-02 14:00:00,Osasuna
139,90,,Keeper,114762,8661,Manolo Reina,1.26,0,3629166,2021-10-02 16:15:00,Mallorca
140,90,,Keeper,213471,8581, Aitor,1.27,1,3629166,2021-10-02 16:15:00,Levante
141,90,,Keeper,486981,8385,Jeremias Ledesma,0.35,0,3629168,2021-10-02 18:30:00,Cadiz
142,90,,Keeper,212512,10267,Jasper Cillessen,0.02,0,3629168,2021-10-02 18:30:00,Valencia
143,90,,Keeper,177126,9906,Jan Oblak,0.82,0,3629165,2021-10-02 21:00:00,Atletico Madrid
144,90,,Keeper,184554,8634,Marc-Andre ter Stegen,1.81,2,3629165,2021-10-02 21:00:00,Barcelona
145,90,,Keeper,581919,8305,David Soria,1.63,1,3629167,2021-10-03 18:30:00,Getafe
146,90,,Keeper,616539,8560,Alex Remiro,0.35,1,3629167,2021-10-03 18:30:00,Real Sociedad
147,90,,Keeper,40672,10268,Francisco Casilla,0.20,0,3629173,2021-10-03 14:00:00,Elche
148,90,,Keeper,592412,9910,Matias Dituro,0.81,1,3629173,2021-10-03 14:00:00,Celta Vigo
149,90,,Keeper,245555,10205,Geronimo Rulli,0.45,0,3629172,2021-10-03 18:30:00,Villarreal
